id,model,maxae,horizon,context,eta,dataset
6,HBML (fd),550.4397248740595,5,12,10,.
11,HBML (fd),242.0,5,12,10,.
1,HBML (fd),128.0,5,12,10,.
5,HBML (fd),1115.8537920641588,5,12,10,.
4,HBML-SFH,235.7599020247953,5,12,10,.
10,HBML-SFH,177.205456279292,5,12,10,.
3,HBML-SFH,477.78872080127667,5,12,10,.
9,HBML-SFH,397.28762880929605,5,12,10,.
8,HBML-SFH,574.8899250171685,5,12,10,.
2,HBML-SFH,304.11818054978914,5,12,10,.
6,HBML-SFH,335.9923954781668,5,12,10,.
11,HBML-SFH,342.7218208722816,5,12,10,.
1,HBML-SFH,128.0,5,12,10,.
5,HBML-SFH,714.838976605239,5,12,10,.
4,HBML-SFHDF,287.3719889734849,5,12,10,.
10,HBML-SFHDF,149.0,5,12,10,.
3,HBML-SFHDF,315.45039991929525,5,12,10,.
9,HBML-SFHDF,408.99142889452855,5,12,10,.
8,HBML-SFHDF,595.8589972905511,5,12,10,.
2,HBML-SFHDF,358.94882039314774,5,12,10,.
6,HBML-SFHDF,402.22622789831064,5,12,10,.
11,HBML-SFHDF,358.0364488073014,5,12,10,.
1,HBML-SFHDF,128.0,5,12,10,.
5,HBML-SFHDF,792.824862703682,5,12,10,.
4,NODE,120.0,5,full,10,.
10,NODE,149.0,5,full,10,.
3,NODE,117.0,5,full,10,.
9,NODE,145.0,5,full,10,.
8,NODE,123.0,5,full,10,.
2,NODE,122.0,5,full,10,.
6,NODE,118.0,5,full,10,.
11,NODE,131.0,5,full,10,.
1,NODE,128.0,5,full,10,.
5,NODE,161.0,5,full,10,.
4,ARIMA,362.0,5,full,10,.
10,ARIMA,663.9158978335581,5,full,10,.
3,ARIMA,1247.678039245557,5,full,10,.
9,ARIMA,850.9266538489605,5,full,10,.
8,ARIMA,317.8473165216374,5,full,10,.
2,ARIMA,393.2885946565102,5,full,10,.
6,ARIMA,844.433675354018,5,full,10,.
11,ARIMA,131.0,5,full,10,.
1,ARIMA,128.0,5,full,10,.
5,ARIMA,1143.699181785889,5,full,10,.
4,XGBoost,120.0,5,full,10,.
10,XGBoost,149.0,5,full,10,.
3,XGBoost,175.9954071044922,5,full,10,.
9,XGBoost,157.8955993652344,5,full,10,.
8,XGBoost,197.66283416748047,5,full,10,.
2,XGBoost,122.0,5,full,10,.
6,XGBoost,118.0,5,full,10,.
11,XGBoost,131.0,5,full,10,.
1,XGBoost,128.0,5,full,10,.
5,XGBoost,161.0,5,full,10,.
4,NHITS,120.0,5,full,10,.
10,NHITS,149.0,5,full,10,.
3,NHITS,131.49716186523438,5,full,10,.
9,NHITS,145.0,5,full,10,.
