id,model,rmse,horizon,context,eta,dataset
11,HBML-SFHDF,27.78221848932496,5,12,10,.
1,HBML-SFHDF,17.506760366651186,5,12,10,.
5,HBML-SFHDF,43.064052879587734,5,12,10,.
4,NODE,36.21623575150816,5,full,10,.
10,NODE,37.3738195553074,5,full,10,.
3,NODE,36.330691762944795,5,full,10,.
9,NODE,37.68572272377759,5,full,10,.
8,NODE,36.929837641451826,5,full,10,.
2,NODE,36.87318710371656,5,full,10,.
6,NODE,35.684187572802486,5,full,10,.
11,NODE,36.89704886379364,5,full,10,.
1,NODE,36.665899926256365,5,full,10,.
5,NODE,38.79358188674061,5,full,10,.
4,ARIMA,37.73733473934328,5,full,10,.
10,ARIMA,53.68634254572111,5,full,10,.
3,ARIMA,127.74048424110754,5,full,10,.
9,ARIMA,69.51206064837181,5,full,10,.
8,ARIMA,39.11869372164434,5,full,10,.
2,ARIMA,43.51489845375085,5,full,10,.
6,ARIMA,59.52578413551285,5,full,10,.
11,ARIMA,26.112751474201996,5,full,10,.
1,ARIMA,19.864678082211565,5,full,10,.
5,ARIMA,140.44422364733518,5,full,10,.
4,XGBoost,27.344248263549872,5,full,10,.
10,XGBoost,30.876858120926855,5,full,10,.
3,XGBoost,39.803721004357456,5,full,10,.
9,XGBoost,37.429273151639194,5,full,10,.
8,XGBoost,35.03046216229708,5,full,10,.
2,XGBoost,35.19309750887624,5,full,10,.
6,XGBoost,24.60023789226832,5,full,10,.
11,XGBoost,30.63766761970417,5,full,10,.
1,XGBoost,22.340560301275723,5,full,10,.
5,XGBoost,47.90540899302738,5,full,10,.
4,NHITS,16.390967126088967,5,full,10,.
10,NHITS,31.08979605157814,5,full,10,.
3,NHITS,49.03116010083347,5,full,10,.
9,NHITS,46.12280595383496,5,full,10,.
8,NHITS,77.2436324432811,5,full,10,.
2,NHITS,29.547393828590906,5,full,10,.
6,NHITS,95.10965728692987,5,full,10,.
11,NHITS,42.19428668229995,5,full,10,.
1,NHITS,29.214182663767065,5,full,10,.
5,NHITS,48.638821031416605,5,full,10,.
4,Autoformer,,5,full,10,.
10,Autoformer,,5,full,10,.
3,Autoformer,,5,full,10,.
9,Autoformer,,5,full,10,.
8,Autoformer,,5,full,10,.
2,Autoformer,,5,full,10,.
6,Autoformer,,5,full,10,.
11,Autoformer,,5,full,10,.
1,Autoformer,,5,full,10,.
5,Autoformer,,5,full,10,.
4,ETS,24.7489490625347,5,full,10,.
10,ETS,41.03648655294431,5,full,10,.
3,ETS,94.4336165781254,5,full,10,.
9,ETS,50.75981370067432,5,full,10,.
8,ETS,65.45361570281118,5,full,10,.
2,ETS,56.06905997824701,5,full,10,.
6,ETS,40.79941454467448,5,full,10,.
11,ETS,60.09652267198143,5,full,10,.
1,ETS,21.26427218378443,5,full,10,.
5,ETS,105.75643808142183,5,full,10,.
4,HBML (c),,5,full,10,.
10,HBML (c),,5,full,10,.
3,HBML (c),,5,full,10,.
9,HBML (c),,5,full,10,.
8,HBML (c),,5,full,10,.
2,HBML (c),,5,full,10,.
6,HBML (c),,5,full,10,.
11,HBML (c),,5,full,10,.
1,HBML (c),,5,full,10,.
5,HBML (c),,5,full,10,.
4,HBML (d),,5,full,10,.
10,HBML (d),,5,full,10,.
3,HBML (d),,5,full,10,.
9,HBML (d),,5,full,10,.
8,HBML (d),,5,full,10,.
2,HBML (d),,5,full,10,.
6,HBML (d),,5,full,10,.
11,HBML (d),,5,full,10,.
1,HBML (d),,5,full,10,.
5,HBML (d),,5,full,10,.
4,HBML (fd),,5,full,10,.
10,HBML (fd),,5,full,10,.
3,HBML (fd),,5,full,10,.
9,HBML (fd),,5,full,10,.
8,HBML (fd),,5,full,10,.
2,HBML (fd),,5,full,10,.
6,HBML (fd),,5,full,10,.
11,HBML (fd),,5,full,10,.
1,HBML (fd),,5,full,10,.
5,HBML (fd),,5,full,10,.
4,HBML-SFH,21.823097316941485,5,full,10,.
10,HBML-SFH,34.77992256751634,5,full,10,.
3,HBML-SFH,42.90418405981558,5,full,10,.
9,HBML-SFH,39.17980990974879,5,full,10,.
8,HBML-SFH,36.108939507661894,5,full,10,.
2,HBML-SFH,36.95545426196836,5,full,10,.
6,HBML-SFH,30.25313802879699,5,full,10,.
11,HBML-SFH,31.84509145164869,5,full,10,.
1,HBML-SFH,20.592183712386436,5,full,10,.
5,HBML-SFH,44.76309460691456,5,full,10,.
4,HBML-SFHDF,17.59140108823204,5,full,10,.
10,HBML-SFHDF,31.396778794011468,5,full,10,.
3,HBML-SFHDF,36.82296910029997,5,full,10,.
9,HBML-SFHDF,38.50732338784281,5,full,10,.
8,HBML-SFHDF,35.52203347948794,5,full,10,.
2,HBML-SFHDF,30.62072454186487,5,full,10,.
6,HBML-SFHDF,27.59560688045492,5,full,10,.
11,HBML-SFHDF,27.91681905119843,5,full,10,.
1,HBML-SFHDF,20.08584443260435,5,full,10,.
5,HBML-SFHDF,40.50316823577947,5,full,10,.
4,NODE,59.60225472628996,5,24,10,.
10,NODE,60.23271302325719,5,24,10,.
3,NODE,59.65548536157962,5,24,10,.
9,NODE,60.37800089548594,5,24,10,.
8,NODE,59.96094888144339,5,24,10,.
2,NODE,59.88917336184467,5,24,10,.
6,NODE,59.29850185423238,5,24,10,.
11,NODE,59.92391282006017,5,24,10,.
1,NODE,59.936079967402065,5,24,10,.
5,NODE,60.945289953782215,5,24,10,.
4,ARIMA,18.587935740939688,5,24,10,.
10,ARIMA,21.08362926833994,5,24,10,.
3,ARIMA,28.062224933926988,5,24,10,.
9,ARIMA,28.61684746476838,5,24,10,.
8,ARIMA,22.212353856120775,5,24,10,.
2,ARIMA,24.487866639488868,5,24,10,.
6,ARIMA,19.05446164488809,5,24,10,.
11,ARIMA,21.203646554008177,5,24,10,.
1,ARIMA,18.44256116458809,5,24,10,.
5,ARIMA,48.82075931566426,5,24,10,.
4,XGBoost,26.761305979267995,5,24,10,.
10,XGBoost,30.910043592838157,5,24,10,.
3,XGBoost,32.070219003439426,5,24,10,.
9,XGBoost,35.232986984602135,5,24,10,.
8,XGBoost,35.96845365265089,5,24,10,.
2,XGBoost,33.60849922057576,5,24,10,.
6,XGBoost,27.271673298165823,5,24,10,.
11,XGBoost,31.03294272471812,5,24,10,.
1,XGBoost,21.480081166843657,5,24,10,.
5,XGBoost,47.84081429555744,5,24,10,.
4,NHITS,21.61321222723191,5,24,10,.
10,NHITS,24.702194878309506,5,24,10,.
3,NHITS,26.78634091731075,5,24,10,.
9,NHITS,34.76374227708753,5,24,10,.
8,NHITS,32.26329353381119,5,24,10,.
2,NHITS,25.611404225542113,5,24,10,.
6,NHITS,24.30962500870109,5,24,10,.
11,NHITS,23.529703367451106,5,24,10,.
1,NHITS,19.840397898904847,5,24,10,.
5,NHITS,39.040015262021825,5,24,10,.
4,ETS,18.504175563362462,5,24,10,.
10,ETS,19.704425745588956,5,24,10,.
3,ETS,36.12169724124293,5,24,10,.
9,ETS,22.5540581671193,5,24,10,.
8,ETS,27.28285301659874,5,24,10,.
2,ETS,22.685398113232367,5,24,10,.
6,ETS,18.841950357006272,5,24,10,.
11,ETS,26.521017494669618,5,24,10,.
1,ETS,17.509991823520846,5,24,10,.
5,ETS,42.67293308085205,5,24,10,.
4,HBML (c),31.25877321003423,5,24,10,.
